settlement_id,settlement_batch_id,merchant_id,gross_amount,fee_amount,net_amount,settlement_status,settled_at
S105,B105,M006,7995,360,7635,COMPLETED,2026-08-30 14:39:00
S106,B106,M002,9585,335,9250,COMPLETED,2026-07-15 10:53:00
S107,B107,M005,11175,279,10896,COMPLETED,2026-07-27 17:07:00
S108,B108,M001,12765,383,12382,COMPLETED,2026-08-04 12:31:00
S109,B109,M003,14355,574,13781,COMPLETED,2026-08-16 18:45:00
S110,B110,M001,15945,478,15467,COMPLETED,2026-08-28 09:59:00
S111,B111,M003,17535,701,16834,COMPLETED,2026-07-13 15:32:00
S112,B112,M006,17648,794,16854,COMPLETED,2026-07-21 11:46:00
S113,B113,M002,19238,673,18565,COMPLETED,2026-08-02 18:00:00
S114,B114,M005,20828,521,20307,COMPLETED,2026-08-14 13:33:00
S115,B115,M001,22418,673,21745,COMPLETED,2026-08-26 14:47:00
S116,B116,M003,24008,960,23048,COMPLETED,2026-07-07 11:01:00
S117,B117,M006,25598,1152,24446,COMPLETED,2026-07-19 16:25:00
S118,B118,M002,27188,952,26236,COMPLETED,2026-07-31 12:39:00
S119,B119,M005,27301,683,26618,COMPLETED,2026-08-12 18:53:00
S120,B120,M001,28891,867,28024,COMPLETED,2026-08-20 09:26:00
S121,B121,M005,30481,762,29719,COMPLETED,2026-09-01 15:40:00
S122,B122,M001,32071,962,31109,COMPLETED,2026-07-17 11:54:00
S123,B123,M003,33661,1346,32315,COMPLETED,2026-07-29 17:27:00
S124,B124,M006,35251,1586,33665,COMPLETED,2026-08-06 13:41:00
S125,B125,M002,36841,1289,35552,COMPLETED,2026-08-18 14:55:00
S126,B126,M005,36954,924,36030,COMPLETED,2026-08-30 11:00:00
S127,B127,M001,38544,1156,37388,COMPLETED,2026-07-15 16:33:00
S128,B128,M003,40134,1605,38529,COMPLETED,2026-07-23 12:47:00
S129,B129,M006,41724,1878,39846,COMPLETED,2026-08-04 19:01:00
S130,B130,M002,43314,1516,41798,COMPLETED,2026-08-16 09:34:00
S131,B131,M005,44904,1123,43781,COMPLETED,2026-08-28 15:48:00
S132,B132,M002,46494,1627,44867,COMPLETED,2026-07-09 12:02:00
S133,B133,M005,46607,1165,45442,COMPLETED,2026-07-21 17:35:00
S134,B134,M001,1997,60,1937,COMPLETED,2026-08-02 13:49:00
S135,B135,M003,3587,143,3444,COMPLETED,2026-08-14 14:54:00
S136,B136,M006,5177,233,4944,COMPLETED,2026-08-22 10:27:00
S137,B137,M002,6767,237,6530,COMPLETED,2026-09-03 16:41:00
S138,B138,M005,8357,209,8148,COMPLETED,2026-07-19 12:55:00
S139,B139,M001,9947,298,9649,COMPLETED,2026-07-31 18:28:00
S140,B140,M003,10060,402,9658,COMPLETED,2026-08-08 09:42:00
S141,B141,M006,11650,524,11126,COMPLETED,2026-08-20 15:56:00
S142,B142,M002,13240,463,12777,COMPLETED,2026-09-01 11:29:00
S143,B143,M006,14830,667,14163,COMPLETED,2026-07-17 17:43:00
S144,B144,M002,16420,575,15845,COMPLETED,2026-07-25 13:48:00
S145,B145,M005,18010,450,17560,COMPLETED,2026-08-06 15:02:00
S146,B146,M001,19600,588,19012,COMPLETED,2026-08-18 10:35:00
S147,B147,M003,19713,789,18924,COMPLETED,2026-08-30 16:49:00
S148,B148,M006,21303,959,20344,COMPLETED,2026-07-11 13:03:00
S149,B149,M002,22893,801,22092,COMPLETED,2026-07-23 18:36:00
S150,B150,M005,24483,612,23871,COMPLETED,2026-08-04 09:50:00
S151,B151,M001,26073,782,25291,COMPLETED,2026-08-16 16:04:00
S152,B152,M003,27663,1107,26556,COMPLETED,2026-08-24 11:37:00
S153,B153,M006,29253,1316,27937,COMPLETED,2026-07-09 17:42:00
S154,B154,M003,29366,1175,28191,COMPLETED,2026-07-21 13:56:00
S155,B155,M006,30956,1393,29563,COMPLETED,2026-08-02 14:29:00
S156,B156,M002,32546,1139,31407,COMPLETED,2026-08-10 10:43:00
S157,B157,M005,34136,853,33283,COMPLETED,2026-08-22 16:57:00
S158,B158,M001,35726,1072,34654,COMPLETED,2026-09-03 12:30:00
S159,B159,M003,37316,1493,35823,COMPLETED,2026-07-19 18:44:00
S160,B160,M006,38906,1751,37155,COMPLETED,2026-07-27 09:58:00
S161,B161,M002,39019,1366,37653,COMPLETED,2026-08-08 15:31:00
S162,B162,M005,40609,1015,39594,COMPLETED,2026-08-20 11:36:00
S163,B163,M001,42199,1266,40933,COMPLETED,2026-09-01 17:50:00
S164,B164,M003,43789,1752,42037,COMPLETED,2026-07-13 13:23:00
S165,B165,M001,45379,1361,44018,COMPLETED,2026-07-25 14:37:00
S166,B166,M003,46969,1879,45090,COMPLETED,2026-08-06 10:51:00
S167,B167,M006,2359,106,2253,COMPLETED,2026-08-18 17:05:00
S168,B168,M002,2472,87,2385,COMPLETED,2026-08-26 12:38:00
S169,B169,M005,4062,102,3960,COMPLETED,2026-07-11 18:52:00
S170,B170,M001,5652,170,5482,COMPLETED,2026-07-23 10:06:00
S171,B171,M003,7242,290,6952,COMPLETED,2026-08-04 15:30:00
S172,B172,M006,8832,397,8435,COMPLETED,2026-08-12 11:44:00
S173,B173,M002,10422,365,10057,COMPLETED,2026-08-24 17:58:00
S174,B174,M005,12012,300,11712,COMPLETED,2026-07-09 13:31:00
S175,B175,M001,12125,364,11761,COMPLETED,2026-07-21 14:45:00
S176,B176,M005,13715,343,13372,COMPLETED,2026-07-29 10:59:00
S177,B177,M001,15305,459,14846,COMPLETED,2026-08-10 16:32:00
S178,B178,M003,16895,676,16219,COMPLETED,2026-08-22 12:46:00
S179,B179,M006,18485,832,17653,COMPLETED,2026-09-03 19:00:00
S180,B180,M002,20075,703,19372,COMPLETED,2026-07-15 09:24:00
S181,B181,M005,21665,542,21123,COMPLETED,2026-07-27 15:38:00
S182,B182,M001,21778,653,21125,COMPLETED,2026-08-08 11:52:00
S183,B183,M003,23368,935,22433,COMPLETED,2026-08-20 17:25:00
S184,B184,M006,24958,1123,23835,COMPLETED,2026-08-28 13:39:00
S185,B185,M002,26548,929,25619,COMPLETED,2026-07-13 14:53:00
S186,B186,M005,28138,703,27435,COMPLETED,2026-07-25 11:07:00
S187,B187,M002,29728,1040,28688,COMPLETED,2026-08-06 16:40:00
S188,B188,M005,31318,783,30535,COMPLETED,2026-08-14 12:54:00
S189,B189,M001,31431,943,30488,COMPLETED,2026-08-26 18:59:00
S190,B190,M003,33021,1321,31700,COMPLETED,2026-07-11 09:32:00
S191,B191,M006,34611,1557,33054,COMPLETED,2026-07-23 15:46:00
S192,B192,M002,36201,1267,34934,COMPLETED,2026-07-31 12:00:00
S193,B193,M005,37791,945,36846,COMPLETED,2026-08-12 17:33:00
S194,B194,M001,39381,1181,38200,COMPLETED,2026-08-24 13:47:00
S195,B195,M003,40971,1639,39332,COMPLETED,2026-09-05 15:01:00
S196,B196,M006,41084,1849,39235,COMPLETED,2026-07-17 10:34:00
S197,B197,M002,42674,1494,41180,COMPLETED,2026-07-29 16:48:00
S198,B198,M006,44264,1992,42272,COMPLETED,2026-08-10 12:53:00
S199,B199,M002,45854,1605,44249,COMPLETED,2026-08-22 18:26:00
S200,B200,M005,47444,1186,46258,COMPLETED,2026-08-30 09:40:00
